Scene,Method,File_Size_MB,Compression_Ratio,Bitrate_Mbps,Network_Utilization_%,Total_Latency_ms,Feasible,Processing_Latency_ms
campus,Uncompressed,1.8718279569892475,1.0,149.7462365591398,14.97462365591398,2.763705806451613,True,
campus,Huffman,1.2310275971758626,0.6576606533625644,98.48220777406901,9.848220777406901,5.302259259647752,True,2.8
campus,EB-HC(Axis),0.6574166929049187,0.3512164087784779,52.593335432393495,5.259333543239349,5.768226010705207,True,3.5
campus,EB-HC(L2),0.6697810913954956,0.3578219295713527,53.582487311639646,5.358248731163965,6.373270685289362,True,4.1
campus,EB-Octree(Axis),1.0303893705573604,0.5504722625335162,82.43114964458883,8.243114964458883,7.420398863187403,True,5.0
campus,EB-Octree(L2),1.0188374950230827,0.5443008216747857,81.50699960184662,8.150699960184662,7.415685697969417,True,5.0
campus,EB-HC-3D(Axis),0.5141226495423409,0.2746634099691963,41.12981196338727,4.112981196338727,7.409762041013275,True,5.2
campus,EB-HC-3D(L2),0.5141243402376554,0.2746643132014128,41.129947219012436,4.112994721901243,8.309762730816962,True,6.1
city,Uncompressed,1.8962962962962964,1.0,151.7037037037037,15.170370370370371,2.7736888888888886,True,
city,Huffman,1.2396314734872806,0.6537119098468082,99.17051787898245,9.917051787898245,5.305769641182811,True,2.8
city,EB-HC(Axis),0.6521434839516158,0.3439037903651099,52.171478716129265,5.2171478716129265,5.766074541452259,True,3.5
city,EB-HC(L2),0.6645600224423515,0.35045157433483376,53.164801795388115,5.316480179538812,6.3711404891564785,True,4.1
city,EB-Octree(Axis),1.043435430937148,0.5502491530332617,83.47483447497184,8.347483447497183,7.425721655822356,True,5.0
city,EB-Octree(L2),1.0313682968033995,0.5438856252674177,82.50946374427195,8.250946374427196,7.420798265095787,True,5.0
city,EB-HC-3D(Axis),0.4983070082527161,0.26277908638326825,39.86456066021729,3.986456066021729,7.403309259367108,True,5.2
city,EB-HC-3D(L2),0.49830961487676956,0.26278046097017144,39.864769190141566,3.9864769190141565,8.303310322869722,True,6.1
person,Uncompressed,1.9576470588235295,1.0,156.61176470588236,15.661176470588236,2.79872,True,
person,Huffman,1.2644645734196027,0.6459103890665038,101.15716587356822,10.115716587356822,5.315901545955198,True,2.8
person,EB-HC(Axis),0.6558732555103217,0.3350314105671715,52.46986044082574,5.246986044082575,5.767596288248211,True,3.5
person,EB-HC(L2),0.669149440302779,0.3418131155392801,53.53195522422232,5.353195522422232,6.373012971643534,True,4.1
person,EB-Octree(Axis),1.0658331934927165,0.5444460423490439,85.26665547941732,8.526665547941732,7.434859942945028,True,5.0
person,EB-Octree(L2),1.0483173133961343,0.5354986276362464,83.86538507169075,8.386538507169075,7.427713463865623,True,5.0
person,EB-HC-3D(Axis),0.467117184179095,0.23861154239917712,37.3693747343276,3.7369374734327603,7.3905838111450715,True,5.2
person,EB-HC-3D(L2),0.4671193453450632,0.23861264636015847,37.36954762760506,3.736954762760506,8.290584692900786,True,6.1
residential,Uncompressed,1.8947193347193347,1.0,151.5775467775468,15.157754677754678,2.7730454885654887,True,
residential,Huffman,1.2259225851676134,0.6470206762043781,98.07380681340908,9.807380681340907,5.300176414748386,True,2.8
residential,EB-HC(Axis),0.6354345570446918,0.33537133727450924,50.83476456357534,5.083476456357534,5.759257299274235,True,3.5
residential,EB-HC(L2),0.6481848427709962,0.34210071692070004,51.854787421679696,5.18547874216797,6.364459415850566,True,4.1
residential,EB-Octree(Axis),1.040688386258404,0.5492572790009352,83.25507090067232,8.325507090067234,7.4246008615934285,True,5.0
residential,EB-Octree(L2),1.02175282780258,0.5392634196947869,81.7402262242064,8.174022622420638,7.416875153743453,True,5.0
residential,EB-HC-3D(Axis),0.4662936450892369,0.2461016977790587,37.30349160713895,3.730349160713895,7.390247807196409,True,5.2
residential,EB-HC-3D(L2),0.46629489654851003,0.2461023582775559,37.3035917238808,3.73035917238808,8.290248317791793,True,6.1
road,Uncompressed,1.8273400673400675,1.0,146.1872053872054,14.618720538720542,2.7455547474747477,True,
road,Huffman,1.1935993069178525,0.653189479205856,95.4879445534282,9.54879445534282,5.2869885172224835,True,2.8
road,EB-HC(Axis),0.6255592133862894,0.3423332222430128,50.04473707090315,5.004473707090315,5.7552281590616055,True,3.5
road,EB-HC(L2),0.6374076952312099,0.3488172270851808,50.99261561849679,5.099261561849679,6.360062339654333,True,4.1
road,EB-Octree(Axis),1.0232457205401302,0.559964583948295,81.85965764321041,8.185965764321042,7.417484253980373,True,5.0
road,EB-Octree(L2),1.014686440071823,0.5552805732262149,81.17491520574583,8.117491520574584,7.413992067549304,True,5.0
road,EB-HC-3D(Axis),0.5123190406419568,0.2803632721673444,40.98552325135654,4.098552325135654,7.409026168581919,True,5.2
road,EB-HC-3D(L2),0.5123215007021384,0.28036461841932325,40.985720056171075,4.0985720056171075,8.309027172286472,True,6.1
