stream,gate,open_ns,close_ns,cycle_ns
LiDAR_Huffman_BENone,10000000,91163,91163,1000000
LiDAR_EB-HC(Axis)_BENone,10000000,51326,51326,1000000
LiDAR_EB-HC(L2)_BENone,10000000,53001,53001,1000000
LiDAR_EB-Octree(Axis)_BENone,10000000,77795,77795,1000000
LiDAR_EB-Octree(L2)_BENone,10000000,77681,77681,1000000
LiDAR_EB-HC-3D(Axis)_BENone,10000000,40812,40812,1000000
LiDAR_EB-HC-3D(L2)_BENone,10000000,40812,40812,1000000
LiDAR_EB-HC(Axis)_BENone,10000000,47999,47999,1000000
LiDAR_EB-HC(L2)_BENone,10000000,48911,48911,1000000
LiDAR_EB-Octree(Axis)_BENone,10000000,76822,76822,1000000
LiDAR_EB-Octree(L2)_BENone,10000000,75937,75937,1000000
LiDAR_EB-HC-3D(Axis)_BENone,10000000,36713,36713,1000000
LiDAR_EB-HC-3D(L2)_BENone,10000000,36713,36713,1000000
LiDAR_EB-HC(Axis)_BENone,10000000,44259,44259,1000000
LiDAR_EB-HC(L2)_BENone,10000000,44743,44743,1000000
LiDAR_EB-Octree(Axis)_BENone,10000000,73499,73499,1000000
LiDAR_EB-Octree(L2)_BENone,10000000,71200,71200,1000000
LiDAR_EB-HC-3D(Axis)_BENone,10000000,32704,32704,1000000
LiDAR_EB-HC-3D(L2)_BENone,10000000,32705,32705,1000000
