Method,BE_cm,Real_Compression_Ratio,Annual_Data_GB,Storage_Saved_GB,Storage_Savings_%,Upload_Time_Saved_Hours,Upload_Time_Savings_%,Quality_IoU
Huffman,0.0,0.6576266105759461,186988.67644501882,97349.99452399058,34.237338942405394,22152.532087236963,34.237338942405394,1.0
EB-HC(Axis),0.5,0.3749251446300586,106605.7173369745,177732.95363203489,62.507485536994146,40444.121004267494,62.507485536994146,0.9168406099611528
EB-HC(L2),0.5,0.3869128426072701,110014.2834477927,174324.3875212167,61.30871573927299,39668.48284927242,61.30871573927299,0.9586813577394704
EB-Octree(Axis),0.5,0.5567606931404029,158308.59553532663,126030.07543368277,44.32393068595971,28678.843832020255,44.32393068595971,0.9999848812421572
EB-Octree(L2),0.5,0.5558407511279112,158047.02044612617,126291.65052288322,44.41592488720888,28738.366696762758,44.41592488720888,0.9999848812421572
EB-HC-3D(Axis),0.5,0.3043734503922286,86545.14236277799,197793.5286062314,69.56265496077714,45009.016287284656,69.56265496077714,0.9429108698526496
EB-HC-3D(L2),0.5,0.3043734503922286,86545.14236277799,197793.5286062314,69.56265496077714,45009.016287284656,69.56265496077714,0.9429108698526496
EB-HC(Axis),1.0,0.3511814277391646,99854.46043235327,184484.21053665614,64.88185722608354,41980.40701989686,64.88185722608354,0.8809808272173864
EB-HC(L2),1.0,0.3578120554403934,101739.80430061097,182598.86666839843,64.21879445596066,41551.38654854223,64.21879445596066,0.902814145541392
EB-Octree(Axis),1.0,0.5503197442046363,156477.18467515148,127861.48629385792,44.96802557953637,29095.59154775789,44.96802557953637,0.9994708514755684
EB-Octree(L2),1.0,0.5441626359929006,154726.4807092142,129612.1902597952,45.58373640070994,29493.973961340067,45.58373640070994,0.998715080420849
EB-HC-3D(Axis),1.0,0.2751236299096316,78228.28728067424,206110.38368833516,72.48763700903685,46901.56286596782,72.48763700903685,0.8933440256615878
EB-HC-3D(L2),1.0,0.2751263396062811,78229.0577522183,206109.6132167911,72.48736603937189,46901.387540887576,72.48736603937189,0.8933440256615878
